edge_index,tie
4.0,-0.4934249861193291
4.0,0.46528131024504915
7.0,-0.41605381894886795
7.0,-0.028438953386754205
8.0,-0.4529655406452934
8.0,-0.03965407475391192
10.0,-0.4512037885213914
12.0,-0.44401707184586325
13.0,-0.4098485842268532
13.0,0.008988609234220483
15.0,-0.36063400750554764
15.0,0.04704670584765561
16.0,-0.44135208569621603
17.0,-0.4219076654324387
18.0,-0.40794513722213116
19.0,0.16524902641946307
20.0,-0.4047964574545174
20.0,0.13641048182504167
21.0,-0.3797384594552295
21.0,0.09010037240832898
22.0,0.13091227675649636
25.0,-0.27538421308053795
25.0,0.12698148514529223
26.0,-0.35771059684346196
28.0,-0.3062127679321351
29.0,0.19392378657865644
31.0,-0.22845868292902843
31.0,0.15205610423079965
32.0,0.27545804941656216
33.0,-0.34246730790073604
34.0,-0.26689030540138764
35.0,-0.23005768934398635
35.0,0.2043705826279829
36.0,0.3065408784637491
37.0,-0.2469109912853005
37.0,0.27298149828209817
38.0,-0.28153680181343405
39.0,-0.1868549191051204
39.0,0.20904009036982385
41.0,0.38686538512358587
42.0,-0.2890864049341017
43.0,-0.1905436085902729
44.0,0.31133679351469623
45.0,0.3650730716797409
46.0,-0.19032656039884663
46.0,0.3047759222259496
47.0,0.3825022388534468
48.0,-0.16238880566997188
48.0,0.32493913314235684
50.0,-0.07628121450997115
50.0,0.3017262937190139
52.0,-0.10069726436015888
53.0,-0.12388433303044556
54.0,-0.10516993028396589
55.0,-0.05093305186090543
55.0,0.40569689613313575
56.0,-0.08709839594399157
56.0,0.4124045033455482
57.0,-0.07347281315987342
57.0,0.44452678878045343
58.0,-0.11337548325266134
61.0,0.4987278248519205
65.0,-0.44081708139448234
65.0,-0.09432461953491766
68.0,-0.46366705175852596
68.0,0.4934589572227782
71.0,-0.3878565462095252
71.0,0.008988707841717583
72.0,-0.41566331261118167
72.0,-0.00345699627072797
74.0,-0.4166883228155311
76.0,-0.4234960965982409
77.0,-0.39215474322265087
77.0,0.03879479546386175
79.0,-0.34152585318017864
79.0,0.06713460412791464
80.0,-0.4199222770147435
81.0,-0.38716857797953497
82.0,-0.3875910706710259
83.0,0.19588632242610346
84.0,-0.37899972871179244
84.0,0.16643377702948176
85.0,-0.35108126353837044
85.0,0.10925862511817581
86.0,0.16167075428800112
89.0,-0.25157976763702955
89.0,0.15532613622503139
90.0,-0.3294824033607036
92.0,-0.2779845744493642
93.0,0.22215198006141482
95.0,-0.2002304894462784
95.0,0.18028429771356222
96.0,0.3036862428993164
97.0,-0.3142391144179777
98.0,-0.23866211191863343
99.0,-0.20182949586121965
99.0,0.23259877611074545
100.0,0.33476907194650746
101.0,-0.21868279780254213
101.0,0.30120969176485235
102.0,-0.25330860833066315
103.0,-0.15862672562235786
103.0,0.23726828385259474
105.0,0.4150935786063484
106.0,-0.26085821145133914
107.0,-0.16231541510752703
108.0,0.3395649869974671
109.0,0.39330126516249514
110.0,-0.1620983669160841
110.0,0.33300411570871213
111.0,0.4107304323362177
112.0,-0.13416061218720934
