Edge_Index,TIE_Seconds,Bit,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5
119,-1.8040538195637401e-10,1,0,1,1,0,0
120,-2.9317385130789277e-10,0,1,0,1,1,0
121,-1.627462535801819e-10,1,0,1,0,1,1
124,3.100740735201121e-10,0,1,1,1,0,1
125,2.0462042768714052e-10,0,0,1,1,1,0
125,8.071753479989575e-11,0,0,1,1,1,0
126,3.858150375224133e-12,1,0,0,1,1,1
128,1.2582014167334082e-10,0,1,1,0,0,1
128,-3.897392734493096e-11,0,1,1,0,0,1
128,-1.7850103890497498e-10,0,1,1,0,0,1
129,-2.489924366383556e-10,1,0,1,1,0,0
131,-4.442840944226428e-11,0,1,1,0,1,1
133,2.199416171756439e-10,0,0,0,1,1,0
133,2.4450604528561458e-11,0,0,0,1,1,0
135,2.1265244994653714e-10,1,0,0,0,0,1
136,1.4726163145351189e-10,0,1,0,0,0,0
137,2.1639127995953565e-10,0,0,1,0,0,0
137,8.701768266076276e-11,0,0,1,0,0,0
138,-7.067909944168562e-11,1,0,0,1,0,0
139,-9.079582200828975e-11,1,1,0,0,1,0
139,-1.732010876909936e-10,1,1,0,0,1,0
140,-1.52394559257358e-10,0,1,1,0,0,1
141,-1.8040528247555058e-10,1,0,1,1,0,0
142,-2.9317375182706934e-10,0,1,0,1,1,0
143,-1.6274615409935517e-10,1,0,1,0,1,1
146,3.1007417300093554e-10,0,1,1,1,0,1
147,2.0462052716796395e-10,0,0,1,1,1,0
147,8.071763428071918e-11,0,0,1,1,1,0
148,3.858249856047562e-12,1,0,0,1,1,1
150,1.2582024115416094e-10,0,1,1,0,0,1
150,-3.8973827864104224e-11,0,1,1,0,0,1
150,-1.7850093942415155e-10,0,1,1,0,0,1
151,-2.4899233715752557e-10,1,0,1,1,0,0
153,-4.442830996144085e-11,0,1,1,0,1,1
155,2.1994171665646403e-10,0,0,0,1,1,0
155,2.4450704009391504e-11,0,0,0,1,1,0
157,2.1265254942736718e-10,1,0,0,0,0,1
158,1.472617309343287e-10,0,1,0,0,0,0
159,2.1639137944035908e-10,0,0,1,0,0,0
159,8.701778214157957e-11,0,0,1,0,0,0
160,-7.06789999608622e-11,1,0,0,1,0,0
161,-9.079572252747294e-11,1,1,0,0,1,0
161,-1.7320098821017678e-10,1,1,0,0,1,0
162,-1.5239445977653457e-10,0,1,1,0,0,1
163,-1.8040518299473377e-10,1,0,1,1,0,0
164,-2.9317365234625253e-10,0,1,0,1,1,0
165,-1.6274605461853836e-10,1,0,1,0,1,1
168,3.1007427248175896e-10,0,1,1,1,0,1
169,2.0462062664878076e-10,0,0,1,1,1,0
169,8.0717733761536e-11,0,0,1,1,1,0
170,3.858349336870991e-12,1,0,0,1,1,1
172,1.2582034063498437e-10,0,1,1,0,0,1
172,-3.897372838328741e-11,0,1,1,0,0,1
172,-1.7850083994332812e-10,0,1,1,0,0,1
173,-2.4899223767670876e-10,1,0,1,1,0,0
175,-4.442821048061742e-11,0,1,1,0,1,1
177,2.1994181613728084e-10,0,0,0,1,1,0
177,2.4450803490214934e-11,0,0,0,1,1,0
179,2.1265264890817738e-10,1,0,0,0,0,1
180,1.472618304151455e-10,0,1,0,0,0,0
181,2.1639147892116927e-10,0,0,1,0,0,0
181,8.7017881622403e-11,0,0,1,0,0,0
182,-7.067890048004538e-11,1,0,0,1,0,0
183,-9.079562304665613e-11,1,1,0,0,1,0
183,-1.7320088872935997e-10,1,1,0,0,1,0
184,-1.5239436029571114e-10,0,1,1,0,0,1
185,-1.8040508351391034e-10,1,0,1,1,0,0
186,-2.931735528654357e-10,0,1,0,1,1,0
187,-1.6274595513772154e-10,1,0,1,0,1,1
190,3.100743719625758e-10,0,1,1,1,0,1
191,2.046207261296042e-10,0,0,1,1,1,0
191,8.071783324235942e-11,0,0,1,1,1,0
192,3.858448817687803e-12,1,0,0,1,1,1
194,1.258204401158078e-10,0,1,1,0,0,1
194,-3.89736289024706e-11,0,1,1,0,0,1
194,-1.7850074046251793e-10,0,1,1,0,0,1
195,-2.4899213819588533e-10,1,0,1,1,0,0
197,-4.442811099980061e-11,0,1,1,0,1,1
199,2.1994191561809765e-10,0,0,0,1,1,0
199,2.4450902971031745e-11,0,0,0,1,1,0
201,2.126527483890008e-10,1,0,0,0,0,1
202,1.4726192989596894e-10,0,1,0,0,0,0
203,2.163915784019927e-10,0,0,1,0,0,0
203,8.701798110322643e-11,0,0,1,0,0,0
204,-7.067880099922857e-11,1,0,0,1,0,0
205,-9.07955235658327e-11,1,1,0,0,1,0
205,-1.7320078924854316e-10,1,1,0,0,1,0
206,-1.5239426081489432e-10,0,1,1,0,0,1
207,-1.8040498403308691e-10,1,0,1,1,0,0
208,-2.931734533846189e-10,0,1,0,1,1,0
209,-1.6274585565690473e-10,1,0,1,0,1,1
212,3.100744714433926e-10,0,1,1,1,0,1
213,2.04620825610421e-10,0,0,1,1,1,0
213,8.071793272317624e-11,0,0,1,1,1,0
214,3.858548298504615e-12,1,0,0,1,1,1
216,1.2582053959663123e-10,0,1,1,0,0,1
216,-3.8973529421640554e-11,0,1,1,0,0,1
216,-1.785006409816945e-10,0,1,1,0,0,1
217,-2.489920387150685e-10,1,0,1,1,0,0
219,-4.4428011518983796e-11,0,1,1,0,1,1
221,2.199420150989277e-10,0,0,0,1,1,0
221,2.4451002451848557e-11,0,0,0,1,1,0
223,2.1265284786981762e-10,1,0,0,0,0,1
224,1.4726202937678575e-10,0,1,0,0,0,0
225,2.163916778828095e-10,0,0,1,0,0,0
225,8.701808058404324e-11,0,0,1,0,0,0
226,-7.067870151840514e-11,1,0,0,1,0,0
227,-9.079542408500927e-11,1,1,0,0,1,0
227,-1.7320068976771973e-10,1,1,0,0,1,0
228,-1.523941613340775e-10,0,1,1,0,0,1
229,-1.804048845522701e-10,1,0,1,1,0,0
230,-2.9317335390378886e-10,0,1,0,1,1,0
231,-1.627457561760813e-10,1,0,1,0,1,1
234,3.100745709242094e-10,0,1,1,1,0,1
235,2.046209250912378e-10,0,0,1,1,1,0
235,8.071803220399967e-11,0,0,1,1,1,0
236,3.858647779328044e-12,1,0,0,1,1,1
238,1.2582063907744804e-10,0,1,1,0,0,1
238,-3.897342994082374e-11,0,1,1,0,0,1
238,-1.7850054150087107e-10,0,1,1,0,0,1
239,-2.489919392342451e-10,1,0,1,1,0,0
