TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
8.045010e-13,8.045010e-01,1,1,0,0,0,0,0,0,0,0,0,0
-1.865127e-12,-1.865127e+00,0,2,1,0,0,0,0,0,0,0,0,0
1.876402e-12,1.876402e+00,1,5,0,0,0,1,0,0,0,0,0,0
1.063645e-12,1.063645e+00,0,6,1,0,0,0,1,0,0,0,0,0
-5.260971e-12,-5.260971e+00,1,9,0,0,0,1,0,0,0,1,0,0
6.623053e-12,6.623053e+00,0,10,1,0,0,0,1,0,0,0,1,0
-1.737074e-12,-1.737074e+00,1,14,0,0,0,0,1,0,0,0,1,0
1.287088e-12,1.287088e+00,0,15,1,0,0,0,0,1,0,0,0,1
-2.839542e-14,-2.839542e-02,1,16,0,1,0,0,0,0,1,0,0,0
6.083726e-13,6.083726e-01,0,19,1,1,1,0,1,0,0,0,0,1
-2.779752e-13,-2.779752e-01,1,20,0,1,1,1,0,1,0,0,0,0
2.941611e-12,2.941611e+00,0,21,1,0,1,1,1,0,1,0,0,0
-1.850255e-12,-1.850255e+00,1,22,0,1,0,1,1,1,0,1,0,0
2.273274e-12,2.273274e+00,0,30,1,1,1,1,1,1,1,1,0,1
-2.574105e-12,-2.574105e+00,1,32,0,0,1,1,1,1,1,1,1,1
5.165508e-13,5.165508e-01,0,35,1,1,1,0,0,1,1,1,1,1
-1.427234e-12,-1.427234e+00,1,36,0,1,1,1,0,0,1,1,1,1
1.796205e-12,1.796205e+00,0,37,1,0,1,1,1,0,0,1,1,1
2.170943e-12,2.170943e+00,1,42,0,0,0,0,0,1,0,1,1,1
1.653531e-12,1.653531e+00,0,47,1,1,1,1,1,0,0,0,0,0
1.087316e-12,1.087316e+00,1,48,0,1,1,1,1,1,0,0,0,0
1.435375e-13,1.435375e-01,0,50,1,1,0,1,1,1,1,1,0,0
1.425831e-12,1.425831e+00,1,51,0,1,1,0,1,1,1,1,1,0
-1.628229e-12,-1.628229e+00,0,52,1,0,1,1,0,1,1,1,1,1
6.894835e-12,6.894835e+00,1,53,0,1,0,1,1,0,1,1,1,1
-8.270573e-13,-8.270573e-01,0,54,1,0,1,0,1,1,0,1,1,1
9.890494e-13,9.890494e-01,1,55,0,1,0,1,0,1,1,0,1,1
1.477444e-12,1.477444e+00,0,57,1,1,0,1,0,1,0,1,1,0
1.124962e-12,1.124962e+00,1,65,0,0,0,0,0,0,0,0,1,1
1.638147e-12,1.638147e+00,0,67,1,1,0,0,0,0,0,0,0,0
-1.612566e-12,-1.612566e+00,1,68,0,1,1,0,0,0,0,0,0,0
1.109345e-12,1.109345e+00,0,72,1,1,1,1,0,1,1,0,0,0
3.252365e-13,3.252365e-01,1,73,0,1,1,1,1,0,1,1,0,0
2.031975e-12,2.031975e+00,0,74,1,0,1,1,1,1,0,1,1,0
5.307975e-12,5.307975e+00,1,75,0,1,0,1,1,1,1,0,1,1
5.103656e-12,5.103656e+00,0,78,1,1,1,0,1,0,1,1,1,1
1.437465e-12,1.437465e+00,1,79,0,1,1,1,0,1,0,1,1,1
-3.650354e-12,-3.650354e+00,0,80,1,0,1,1,1,0,1,0,1,1
3.043397e-12,3.043397e+00,1,81,0,1,0,1,1,1,0,1,0,1
6.656452e-13,6.656452e-01,0,82,1,0,1,0,1,1,1,0,1,0
5.582146e-13,5.582146e-01,1,83,0,1,0,1,0,1,1,1,0,1
1.972553e-12,1.972553e+00,0,84,1,0,1,0,1,0,1,1,1,0
2.921795e-12,2.921795e+00,1,86,0,0,1,0,1,0,1,0,1,1
2.954646e-12,2.954646e+00,0,87,1,0,0,1,0,1,0,1,0,1
1.533678e-12,1.533678e+00,1,88,0,1,0,0,1,0,1,0,1,0
5.912464e-13,5.912464e-01,0,99,1,1,1,1,1,1,1,1,1,1
1.581344e-12,1.581344e+00,1,101,0,0,1,1,1,1,1,1,1,1
6.627024e-13,6.627024e-01,0,109,1,1,1,1,1,1,1,1,0,0
4.392495e-12,4.392495e+00,1,110,0,1,1,1,1,1,1,1,1,0
4.674857e-13,4.674857e-01,0,111,1,0,1,1,1,1,1,1,1,1
2.202138e-13,2.202138e-01,1,112,0,1,0,1,1,1,1,1,1,1
3.110917e-12,3.110917e+00,0,114,1,1,0,1,0,1,1,1,1,1
4.045235e-12,4.045235e+00,1,115,0,1,1,0,1,0,1,1,1,1
5.998243e-12,5.998243e+00,0,116,1,0,1,1,0,1,0,1,1,1
8.158540e-12,8.158540e+00,1,117,0,1,0,1,1,0,1,0,1,1
5.277492e-12,5.277492e+00,0,119,1,1,0,1,0,1,1,0,1,0
4.603575e-12,4.603575e+00,1,120,0,1,1,0,1,0,1,1,0,1
2.242613e-12,2.242613e+00,0,121,1,0,1,1,0,1,0,1,1,0
1.782905e-12,1.782905e+00,1,122,0,1,0,1,1,0,1,0,1,1
6.776486e-12,6.776486e+00,0,123,1,0,1,0,1,1,0,1,0,1
4.151165e-12,4.151165e+00,1,125,0,0,1,0,1,0,1,1,0,1
5.317271e-12,5.317271e+00,0,127,1,1,0,0,1,0,1,0,1,1
3.332890e-12,3.332890e+00,1,128,0,1,1,0,0,1,0,1,0,1
3.523428e-12,3.523428e+00,0,131,1,1,1,0,1,1,0,0,1,0
4.077367e-12,4.077367e+00,1,140,0,0,0,0,0,0,0,0,0,1
1.373362e-12,1.373362e+00,0,141,1,0,0,0,0,0,0,0,0,0
4.829945e-12,4.829945e+00,1,142,0,1,0,0,0,0,0,0,0,0
7.312680e-12,7.312680e+00,0,145,1,1,1,0,1,0,0,0,0,0
2.831493e-12,2.831493e+00,1,149,0,0,0,0,1,1,1,0,1,0
2.482528e-12,2.482528e+00,0,150,1,0,0,0,0,1,1,1,0,1
3.400087e-13,3.400087e-01,1,155,0,0,0,0,0,1,0,0,0,0
4.262102e-12,4.262102e+00,0,156,1,0,0,0,0,0,1,0,0,0
5.244418e-12,5.244418e+00,1,157,0,1,0,0,0,0,0,1,0,0
4.203153e-12,4.203153e+00,0,158,1,0,1,0,0,0,0,0,1,0
3.549946e-12,3.549946e+00,1,159,0,1,0,1,0,0,0,0,0,1
2.321085e-12,2.321085e+00,0,160,1,0,1,0,1,0,0,0,0,0
4.535737e-12,4.535737e+00,1,162,0,0,1,0,1,0,1,0,0,0
4.257524e-12,4.257524e+00,0,165,1,1,1,0,0,1,0,1,0,1
4.211185e-12,4.211185e+00,1,166,0,1,1,1,0,0,1,0,1,0
2.310860e-12,2.310860e+00,0,167,1,0,1,1,1,0,0,1,0,1
1.124452e-12,1.124452e+00,1,169,0,0,1,0,1,1,1,0,0,1
5.280704e-12,5.280704e+00,0,171,1,1,0,0,1,0,1,1,1,0
4.647924e-12,4.647924e+00,1,173,0,0,1,1,0,0,1,0,1,1
6.026966e-13,6.026966e-01,0,176,1,1,1,0,0,1,1,0,0,1
5.806192e-12,5.806192e+00,1,182,0,0,0,0,0,0,1,1,1,0
4.903962e-12,4.903962e+00,0,183,1,0,0,0,0,0,0,1,1,1
3.666729e-12,3.666729e+00,1,186,0,0,0,1,0,0,0,0,0,0
1.573997e-12,1.573997e+00,0,187,1,0,0,0,1,0,0,0,0,0
6.788371e-12,6.788371e+00,1,189,0,0,1,0,0,0,1,0,0,0
2.736706e-12,2.736706e+00,0,190,1,0,0,1,0,0,0,1,0,0
1.024994e-13,1.024994e-01,1,195,0,0,0,0,0,1,0,0,1,0
3.729238e-12,3.729238e+00,0,198,1,1,1,0,0,0,0,0,1,0
5.211693e-12,5.211693e+00,1,201,0,0,0,1,1,1,0,0,0,0
4.168313e-12,4.168313e+00,0,202,1,0,0,0,1,1,1,0,0,0
3.552912e-12,3.552912e+00,1,204,0,0,1,0,0,0,1,1,1,0
4.119897e-12,4.119897e+00,0,205,1,0,0,1,0,0,0,1,1,1
6.429100e-12,6.429100e+00,1,206,0,1,0,0,1,0,0,0,1,1
-1.915531e-13,-1.915531e-01,0,209,1,1,1,0,1,0,0,1,0,0
6.295713e-12,6.295713e+00,1,216,0,0,0,0,0,0,0,1,1,1
5.924107e-12,5.924107e+00,0,217,1,0,0,0,0,0,0,0,1,1
4.563644e-12,4.563644e+00,1,218,0,1,0,0,0,0,0,0,0,1
1.582266e-12,1.582266e+00,0,219,1,0,1,0,0,0,0,0,0,0
7.116610e-12,7.116610e+00,1,222,0,0,0,1,0,1,0,0,0,0
6.966386e-12,6.966386e+00,0,226,1,1,1,1,0,0,0,1,0,1
3.166637e-12,3.166637e+00,1,227,0,1,1,1,1,0,0,0,1,0
4.083700e-12,4.083700e+00,0,228,1,0,1,1,1,1,0,0,0,1
3.491501e-12,3.491501e+00,1,230,0,0,1,0,1,1,1,1,0,0
3.353431e-12,3.353431e+00,0,238,1,1,1,1,1,1,1,1,0,0
5.522700e-12,5.522700e+00,1,239,0,1,1,1,1,1,1,1,1,0
6.507408e-12,6.507408e+00,0,241,1,1,0,1,1,1,1,1,1,1
6.897449e-12,6.897449e+00,1,242,0,1,1,0,1,1,1,1,1,1
4.965563e-12,4.965563e+00,0,243,1,0,1,1,0,1,1,1,1,1
1.013664e-11,1.013664e+01,1,245,0,0,1,0,1,1,0,1,1,1
2.137641e-12,2.137641e+00,0,246,1,0,0,1,0,1,1,0,1,1
4.666996e-12,4.666996e+00,1,250,0,0,0,0,1,0,0,1,0,1
5.031016e-12,5.031016e+00,0,251,1,0,0,0,0,1,0,0,1,0
5.213485e-12,5.213485e+00,1,252,0,1,0,0,0,0,1,0,0,1
4.439995e-12,4.439995e+00,0,253,1,0,1,0,0,0,0,1,0,0
7.648542e-12,7.648542e+00,1,257,0,0,0,0,1,0,1,0,0,0
3.183733e-12,3.183733e+00,0,259,1,1,0,0,0,0,1,0,1,0
9.534832e-12,9.534832e+00,1,261,0,0,1,1,0,0,0,0,1,0
3.173760e-12,3.173760e+00,0,262,1,0,0,1,1,0,0,0,0,1
4.567828e-12,4.567828e+00,1,265,0,0,0,1,0,0,1,1,0,0
7.370499e-12,7.370499e+00,0,268,1,1,1,0,0,0,1,0,0,1
8.555512e-12,8.555512e+00,1,270,0,0,1,1,1,0,0,0,1,0
4.539802e-12,4.539802e+00,0,274,1,1,1,1,0,0,1,1,1,0
8.690576e-12,8.690576e+00,1,275,0,1,1,1,1,0,0,1,1,1
3.403961e-12,3.403961e+00,0,276,1,0,1,1,1,1,0,0,1,1
2.417106e-12,2.417106e+00,1,277,0,1,0,1,1,1,1,0,0,1
7.230590e-12,7.230590e+00,0,278,1,0,1,0,1,1,1,1,0,0
3.238755e-12,3.238755e+00,1,279,0,1,0,1,0,1,1,1,1,0
5.295459e-12,5.295459e+00,0,283,1,1,1,1,0,1,0,1,0,1
1.014743e-11,1.014743e+01,1,284,0,1,1,1,1,0,1,0,1,0
3.461462e-12,3.461462e+00,0,285,1,0,1,1,1,1,0,1,0,1
3.822566e-12,3.822566e+00,1,289,0,0,0,0,1,0,1,1,1,1
3.520018e-12,3.520018e+00,0,290,1,0,0,0,0,1,0,1,1,1
4.012215e-12,4.012215e+00,1,293,0,0,0,1,0,0,0,0,1,0
3.313158e-12,3.313158e+00,0,297,1,1,1,1,0,0,0,1,0,0
3.477087e-12,3.477087e+00,1,299,0,0,1,1,1,1,0,0,0,1
7.509948e-12,7.509948e+00,0,300,1,0,0,1,1,1,1,0,0,0
3.245204e-12,3.245204e+00,1,303,0,0,0,1,0,0,1,1,1,1
6.939122e-12,6.939122e+00,0,305,1,1,0,0,0,1,0,0,1,1
