Freq_MHz,Spec_SBL,Spec_LASSO,Spec_LS
0.5,0.0,0.0,0.16363217146567263
0.52,0.0,0.0,0.5294288412471818
0.54,0.0,0.0,0.923596514219311
0.56,0.0,0.0,1.0709083526482177
0.58,0.0,0.0,0.7730495235842653
0.6,0.0,0.0,0.07149532421169529
0.62,0.0,0.0,0.5156357521104852
0.64,0.0,0.0,0.6189680206418148
0.66,0.0,0.0,0.16601635057013553
0.68,0.015170550905168056,0.006103542633354664,0.35080197426169407
0.7,0.0,0.0010396536672487855,0.4993383897563132
0.72,0.013249811716377735,0.006261979695409536,0.13880659278744656
0.74,0.011169384233653545,0.005715042818337679,0.3209474032128568
0.76,0.0,0.0,0.3849042771783533
0.78,0.0,0.0,0.06904215598813879
0.8,0.0,0.0,0.29141828878589576
0.82,0.008933850564062595,0.0051945654025365015,0.28400907721243734
0.84,0.0,0.0,0.02991781923149186
0.86,0.0,0.0,0.23012690666153338
0.88,0.0,0.0,0.1938968348282533
0.9,0.0,0.0,0.022828441660062804
0.92,0.01513771153986454,0.009654340334236622,0.07756084177552122
0.94,0.0,0.0,0.104316272333359
0.96,0.0,0.0,0.27680520589134916
0.98,0.0,0.00538255088031292,0.7912394135233707
1.0,4.023550033569336,4.00054931640625,2.686189520131825
1.02,0.0,0.0,1.4215115702985448
1.04,0.0,0.0,0.8296547192849293
1.06,0.0,0.0,0.0788344615200649
1.08,0.01244236622005701,0.0028506163507699966,0.5839703532380782
1.1,0.0,0.0,0.47119173561998334
1.12,0.0,0.0,0.07405048108388042
1.14,0.0,0.0,0.43219541135575823
1.16,0.0072759841568768024,0.002770498162135482,0.5952470974299585
1.18,0.0,0.0,0.7347001771668039
1.2,3.9909019470214844,3.9722909927368164,2.9722732271009775
1.22,0.0,0.0,1.2247551718822904
1.24,0.0,0.0,0.9524551844551444
1.26,0.0,0.0,0.19578065180224666
1.28,0.0,0.0,0.5332959769915461
1.3,0.017329279333353043,0.0079046580940485,0.6282566808648011
1.32,0.0,0.0,0.05027268070793151
1.34,0.0,0.002951274858787656,0.5172450569164861
1.36,0.0,0.0,0.47715591957056985
1.38,0.028757533058524132,0.017060890793800354,0.12347831088831744
1.4,0.0,0.0,0.5441123025088581
1.42,0.0,0.0,0.34375161435177276
1.44,0.0,0.0,0.23442092504179962
1.46,0.012351606972515583,0.0024385752622038126,0.5577796601643386
1.48,0.0,0.0,0.21279952658701956
1.5,0.007883107289671898,0.0020963274873793125,0.3757682294423971
1.52,0.0,0.0,0.5184542910025582
1.54,0.0,0.0,0.06794062363024214
1.56,0.008733898401260376,0.0034696452785283327,0.45312140204639206
1.58,0.0,0.0,0.4596211749795655
1.6,0.0,0.0,0.08146109517818838
1.62,0.0,0.0,0.5302291613168816
1.64,0.007436047308146954,0.0,0.40008656572655193
1.66,0.0,0.005364208482205868,0.2100405188666708
1.68,0.0,0.0,0.5790067656947304
1.7,0.028476780280470848,0.014898235909640789,0.33294264473894253
1.72,0.0,0.0,0.33421377642040145
1.74,0.0,0.0,0.6257480027142228
1.76,0.0,0.0,0.2727188969485156
1.78,0.0,0.0,0.4218428808106633
1.8,0.0,0.0,0.6749150170368716
1.82,0.0,0.0,0.2800538245668954
1.84,0.01768658123910427,0.0071931928396224976,0.4754463824822734
1.86,0.005855712573975325,0.0014147183392196894,0.7770245750368271
1.88,0.0,0.0,0.44699304159260034
1.9,0.011431818827986717,0.0030415605287998915,0.37125015539315287
1.92,0.0,0.0018393852515146136,0.9790302198243183
1.94,0.0,0.0,1.0880377892441788
1.96,0.01146874949336052,0.0024026287719607353,0.7999901158960343
1.98,0.0,0.0,0.4001147410034622
2.0,0.0,0.0,0.12481673674320354
