TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
1.236954e-12,1.236954e+00,0,1,1,1,1,1,1,1,1,1,1,1
5.353229e-13,5.353229e-01,1,2,0,1,1,1,1,1,1,1,1,1
1.441240e-12,1.441240e+00,0,3,1,0,1,1,1,1,1,1,1,1
3.521453e-12,3.521453e+00,1,5,0,0,1,0,1,1,1,1,1,1
-3.023948e-12,-3.023948e+00,0,9,1,1,1,1,0,0,1,0,1,1
-4.161446e-13,-4.161446e-01,1,10,0,1,1,1,1,0,0,1,0,1
-3.022538e-12,-3.022538e+00,0,11,1,0,1,1,1,1,0,0,1,0
-1.363669e-12,-1.363669e+00,1,12,0,1,0,1,1,1,1,0,0,1
-9.825912e-13,-9.825912e-01,0,14,1,1,0,1,0,1,1,1,1,0
-1.682655e-12,-1.682655e+00,1,15,0,1,1,0,1,0,1,1,1,1
-2.339276e-12,-2.339276e+00,0,17,1,1,0,1,1,0,1,0,1,1
2.745816e-12,2.745816e+00,1,19,0,0,1,1,0,1,1,0,1,0
8.939963e-13,8.939963e-01,0,20,1,0,0,1,1,0,1,1,0,1
-1.575965e-12,-1.575965e+00,1,22,0,0,1,0,0,1,1,0,1,1
1.523615e-14,1.523615e-02,0,23,1,0,0,1,0,0,1,1,0,1
-1.529467e-12,-1.529467e+00,1,28,0,0,0,0,0,1,0,0,1,0
-1.099029e-12,-1.099029e+00,0,29,1,0,0,0,0,0,1,0,0,1
-3.986617e-13,-3.986617e-01,1,38,0,0,0,0,0,0,0,0,0,1
-2.306949e-12,-2.306949e+00,0,39,1,0,0,0,0,0,0,0,0,0
-1.390954e-12,-1.390954e+00,1,41,0,0,1,0,0,0,0,0,0,0
3.154177e-12,3.154177e+00,0,45,1,1,1,1,0,0,1,0,0,0
3.618976e-12,3.618976e+00,1,48,0,0,0,1,1,1,1,0,0,1
2.524708e-12,2.524708e+00,0,49,1,0,0,0,1,1,1,1,0,0
-2.249632e-12,-2.249632e+00,1,51,0,0,1,0,0,0,1,1,1,1
