TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
2.672364e-12,2.672364e+00,1,1,0,0,0,0,0,0,0,0,0,0
-2.262910e-12,-2.262910e+00,0,6,1,1,1,1,1,0,0,0,0,0
3.984911e-14,3.984911e-02,1,8,0,0,1,1,1,1,1,0,0,0
1.294541e-12,1.294541e+00,0,10,1,1,0,0,1,1,1,1,1,0
3.461657e-12,3.461657e+00,1,12,0,0,1,1,0,0,1,1,1,1
8.549245e-13,8.549245e-01,0,14,1,1,0,0,1,1,0,0,1,1
-2.617855e-12,-2.617855e+00,1,15,0,1,1,0,0,1,1,0,0,1
-5.865681e-12,-5.865681e+00,0,20,1,1,1,1,1,0,1,1,0,0
-1.302264e-12,-1.302264e+00,1,21,0,1,1,1,1,1,0,1,1,0
-6.772411e-13,-6.772411e-01,0,23,1,1,0,1,1,1,1,1,0,1
2.213551e-12,2.213551e+00,1,24,0,1,1,0,1,1,1,1,1,0
6.023597e-13,6.023597e-01,0,27,1,1,1,0,1,1,0,1,1,1
-7.992400e-15,-7.992400e-03,1,29,0,0,1,1,1,0,1,1,0,1
1.367702e-13,1.367702e-01,0,30,1,0,0,1,1,1,0,1,1,0
2.273001e-12,2.273001e+00,1,31,0,1,0,0,1,1,1,0,1,1
-2.108340e-12,-2.108340e+00,0,34,1,1,1,0,1,0,0,1,1,1
1.616720e-14,1.616720e-02,1,37,0,0,0,1,1,1,0,1,0,0
2.455375e-12,2.455375e+00,0,39,1,1,0,0,0,1,1,1,0,1
-3.642803e-12,-3.642803e+00,1,41,0,0,1,1,0,0,0,1,1,1
-4.500728e-12,-4.500728e+00,0,43,1,1,0,0,1,1,0,0,0,1
3.285949e-12,3.285949e+00,1,49,0,0,0,0,0,0,1,1,0,0
3.026951e-12,3.026951e+00,0,50,1,0,0,0,0,0,0,1,1,0
3.399700e-12,3.399700e+00,1,52,0,0,1,0,0,0,0,0,0,1
3.072116e-12,3.072116e+00,0,53,1,0,0,1,0,0,0,0,0,0
4.134661e-12,4.134661e+00,1,56,0,0,0,1,0,0,1,0,0,0
1.906945e-12,1.906945e+00,0,59,1,1,1,0,0,0,1,0,0,1
-9.975189e-13,-9.975189e-01,1,61,0,0,1,1,1,0,0,0,1,0
-5.810849e-13,-5.810849e-01,0,63,1,1,0,0,1,1,1,0,0,0
2.188374e-12,2.188374e+00,1,64,0,1,1,0,0,1,1,1,0,0
3.347905e-12,3.347905e+00,0,65,1,0,1,1,0,0,1,1,1,0
2.830285e-12,2.830285e+00,1,66,0,1,0,1,1,0,0,1,1,1
1.408305e-12,1.408305e+00,0,67,1,0,1,0,1,1,0,0,1,1
2.583015e-12,2.583015e+00,1,68,0,1,0,1,0,1,1,0,0,1
3.318298e-12,3.318298e+00,0,69,1,0,1,0,1,0,1,1,0,0
3.650464e-12,3.650464e+00,1,72,0,0,0,1,0,1,0,1,0,1
1.548289e-12,1.548289e+00,0,73,1,0,0,0,1,0,1,0,1,0
-5.854947e-13,-5.854947e-01,1,75,0,0,1,0,0,0,1,0,1,0
-1.937884e-12,-1.937884e+00,0,77,1,1,0,0,1,0,0,0,1,0
5.190547e-13,5.190547e-01,1,78,0,1,1,0,0,1,0,0,0,1
2.503582e-12,2.503582e+00,0,81,1,1,1,0,1,1,0,0,1,0
1.170133e-12,1.170133e+00,1,83,0,0,1,1,1,0,1,1,0,0
-1.799235e-12,-1.799235e+00,0,91,1,1,1,1,1,1,1,1,0,0
4.158031e-12,4.158031e+00,1,93,0,0,1,1,1,1,1,1,1,1
5.258292e-12,5.258292e+00,0,96,1,1,1,0,0,1,1,1,1,1
5.585603e-12,5.585603e+00,1,99,0,0,0,1,1,1,0,0,1,1
3.254922e-12,3.254922e+00,0,101,1,1,0,0,0,1,1,1,0,0
6.315187e-12,6.315187e+00,1,102,0,1,1,0,0,0,1,1,1,0
9.958250e-13,9.958250e-01,0,105,1,1,1,0,1,1,0,0,0,1
2.734413e-12,2.734413e+00,1,112,0,0,0,0,0,0,0,1,1,1
1.090647e-12,1.090647e+00,0,116,1,1,1,1,0,0,0,0,0,0
5.338712e-13,5.338712e-01,1,118,0,0,1,1,1,1,0,0,0,0
3.039585e-12,3.039585e+00,0,119,1,0,0,1,1,1,1,0,0,0
2.178665e-12,2.178665e+00,1,121,0,0,1,0,0,1,1,1,1,0
3.973367e-13,3.973367e-01,0,122,1,0,0,1,0,0,1,1,1,1
3.448827e-12,3.448827e+00,1,125,0,0,0,1,0,0,1,0,0,1
1.928649e-12,1.928649e+00,0,126,1,0,0,0,1,0,0,1,0,0
4.230088e-12,4.230088e+00,1,127,0,1,0,0,0,1,0,0,1,0
-3.294914e-13,-3.294914e-01,0,129,1,1,0,1,0,0,0,1,0,0
1.625346e-12,1.625346e+00,1,135,0,0,0,0,0,0,1,1,0,1
5.120046e-12,5.120046e+00,0,137,1,1,0,0,0,0,0,0,1,1
4.455629e-12,4.455629e+00,1,144,0,0,0,0,0,0,0,1,1,0
3.519413e-12,3.519413e+00,0,148,1,1,1,1,0,0,0,0,0,0
2.400126e-12,2.400126e+00,1,150,0,0,1,1,1,1,0,0,0,0
1.954202e-12,1.954202e+00,0,151,1,0,0,1,1,1,1,0,0,0
7.055060e-12,7.055060e+00,1,152,0,1,0,0,1,1,1,1,0,0
6.008939e-12,6.008939e+00,0,154,1,1,0,1,0,0,1,1,1,1
1.911135e-12,1.911135e+00,1,155,0,1,1,0,1,0,0,1,1,1
2.307086e-12,2.307086e+00,0,156,1,0,1,1,0,1,0,0,1,1
1.634748e-12,1.634748e+00,1,157,0,1,0,1,1,0,1,0,0,1
3.248167e-12,3.248167e+00,0,158,1,0,1,0,1,1,0,1,0,0
4.162411e-12,4.162411e+00,1,164,0,0,0,0,0,0,1,0,1,0
8.829550e-13,8.829550e-01,0,168,1,1,1,1,0,0,0,0,0,0
1.057164e-12,1.057164e+00,1,169,0,1,1,1,1,0,0,0,0,0
2.752929e-12,2.752929e+00,0,176,1,1,1,1,1,1,1,0,1,1
6.014236e-12,6.014236e+00,1,177,0,1,1,1,1,1,1,1,0,1
3.270977e-12,3.270977e+00,0,178,1,0,1,1,1,1,1,1,1,0
6.032147e-12,6.032147e+00,1,182,0,0,0,0,1,0,1,1,1,1
5.059607e-12,5.059607e+00,0,184,1,1,0,0,0,0,1,0,1,1
-2.558992e-13,-2.558992e-01,1,185,0,1,1,0,0,0,0,1,0,1
1.909325e-12,1.909325e+00,0,186,1,0,1,1,0,0,0,0,1,0
