TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
1.016520e-12,1.016520e+00,1,1,0,0,0,0,0,0,0,0,0,0
-1.441322e-12,-1.441322e+00,0,2,1,0,0,0,0,0,0,0,0,0
2.931856e-12,2.931856e+00,1,5,0,0,0,1,0,0,0,0,0,0
2.327642e-12,2.327642e+00,0,6,1,0,0,0,1,0,0,0,0,0
-3.380567e-12,-3.380567e+00,1,9,0,0,0,1,0,0,0,1,0,0
8.705100e-12,8.705100e+00,0,10,1,0,0,0,1,0,0,0,1,0
1.126510e-12,1.126510e+00,1,14,0,0,0,0,1,0,0,0,1,0
4.338719e-12,4.338719e+00,0,15,1,0,0,0,0,1,0,0,0,1
3.207925e-12,3.207925e+00,1,16,0,1,0,0,0,0,1,0,0,0
4.376587e-12,4.376587e+00,0,19,1,1,1,0,1,0,0,0,0,1
3.659485e-12,3.659485e+00,1,20,0,1,1,1,0,1,0,0,0,0
7.043972e-12,7.043972e+00,0,21,1,0,1,1,1,0,1,0,0,0
2.412475e-12,2.412475e+00,1,22,0,1,0,1,1,1,0,1,0,0
7.635089e-12,7.635089e+00,0,30,1,1,1,1,1,1,1,1,0,1
3.005642e-12,3.005642e+00,1,32,0,0,1,1,1,1,1,1,1,1
6.376092e-12,6.376092e+00,0,35,1,1,1,0,0,1,1,1,1,1
4.512546e-12,4.512546e+00,1,36,0,1,1,1,0,0,1,1,1,1
7.809535e-12,7.809535e+00,0,37,1,0,1,1,1,0,0,1,1,1
8.448584e-12,8.448584e+00,1,42,0,0,0,0,0,1,0,1,1,1
8.016854e-12,8.016854e+00,0,47,1,1,1,1,1,0,0,0,0,0
7.445824e-12,7.445824e+00,1,48,0,1,1,1,1,1,0,0,0,0
6.470279e-12,6.470279e+00,0,50,1,1,0,1,1,1,1,1,0,0
7.725605e-12,7.725605e+00,1,51,0,1,1,0,1,1,1,1,1,0
4.637193e-12,4.637193e+00,0,52,1,0,1,1,0,1,1,1,1,1
1.311853e-11,1.311853e+01,1,53,0,1,0,1,1,0,1,1,1,1
5.347552e-12,5.347552e+00,0,54,1,0,1,0,1,1,0,1,1,1
7.107244e-12,7.107244e+00,1,55,0,1,0,1,0,1,1,0,1,1
7.460955e-12,7.460955e+00,0,57,1,1,0,1,0,1,0,1,1,0
6.286606e-12,6.286606e+00,1,65,0,0,0,0,0,0,0,0,1,1
6.526693e-12,6.526693e+00,0,67,1,1,0,0,0,0,0,0,0,0
3.129840e-12,3.129840e+00,1,68,0,1,1,0,0,0,0,0,0,0
5.206164e-12,5.206164e+00,0,72,1,1,1,1,0,1,1,0,0,0
4.246085e-12,4.246085e+00,1,73,0,1,1,1,1,0,1,1,0,0
5.771319e-12,5.771319e+00,0,74,1,0,1,1,1,1,0,1,1,0
8.860436e-12,8.860436e+00,1,75,0,1,0,1,1,1,1,0,1,1
8.064842e-12,8.064842e+00,0,78,1,1,1,0,1,0,1,1,1,1
4.191925e-12,4.191925e+00,1,79,0,1,1,1,0,1,0,1,1,1
-1.107139e-12,-1.107139e+00,0,80,1,0,1,1,1,0,1,0,1,1
5.371036e-12,5.371036e+00,1,81,0,1,0,1,1,1,0,1,0,1
