TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
8.987440e-13,8.987440e-01,1,1,0,0,0,0,0,0,0,0,0,0
-1.676670e-12,-1.676670e+00,0,2,1,0,0,0,0,0,0,0,0,0
2.347040e-12,2.347040e+00,1,5,0,0,0,1,0,0,0,0,0,0
1.628095e-12,1.628095e+00,0,6,1,0,0,0,1,0,0,0,0,0
-4.416241e-12,-4.416241e+00,1,9,0,0,0,1,0,0,0,1,0,0
7.560731e-12,7.560731e+00,0,10,1,0,0,0,1,0,0,0,1,0
-4.307601e-13,-4.307601e-01,1,14,0,0,0,0,1,0,0,0,1,0
2.684630e-12,2.684630e+00,0,15,1,0,0,0,0,1,0,0,0,1
1.459946e-12,1.459946e+00,1,16,0,1,0,0,0,0,1,0,0,0
2.366264e-12,2.366264e+00,0,19,1,1,1,0,1,0,0,0,0,1
1.568723e-12,1.568723e+00,1,20,0,1,1,1,0,1,0,0,0,0
4.876550e-12,4.876550e+00,0,21,1,0,1,1,1,0,1,0,0,0
1.723292e-13,1.723292e-01,1,22,0,1,0,1,1,1,0,1,0,0
4.972391e-12,4.972391e+00,0,30,1,1,1,1,1,1,1,1,0,1
2.863347e-13,2.863347e-01,1,32,0,0,1,1,1,1,1,1,1,1
3.612283e-12,3.612283e+00,0,35,1,1,1,0,0,1,1,1,1,1
1.745045e-12,1.745045e+00,1,36,0,1,1,1,0,0,1,1,1,1
5.044046e-12,5.044046e+00,0,37,1,0,1,1,1,0,0,1,1,1
5.781013e-12,5.781013e+00,1,42,0,0,0,0,0,1,0,1,1,1
5.597733e-12,5.597733e+00,0,47,1,1,1,1,1,0,0,0,0,0
5.094727e-12,5.094727e+00,1,48,0,1,1,1,1,1,0,0,0,0
4.273580e-12,4.273580e+00,0,50,1,1,0,1,1,1,1,1,0,0
5.615253e-12,5.615253e+00,1,51,0,1,1,0,1,1,1,1,1,0
2.619257e-12,2.619257e+00,0,52,1,0,1,1,0,1,1,1,1,1
1.119905e-11,1.119905e+01,1,53,0,1,0,1,1,0,1,1,1,1
3.532525e-12,3.532525e+00,0,54,1,0,1,0,1,1,0,1,1,1
5.402626e-12,5.402626e+00,1,55,0,1,0,1,0,1,1,0,1,1
5.994807e-12,5.994807e+00,0,57,1,1,0,1,0,1,0,1,1,0
5.998859e-12,5.998859e+00,1,65,0,0,0,0,0,0,0,0,1,1
6.585864e-12,6.585864e+00,0,67,1,1,0,0,0,0,0,0,0,0
3.369681e-12,3.369681e+00,1,68,0,1,1,0,0,0,0,0,0,0
6.213517e-12,6.213517e+00,0,72,1,1,1,1,0,1,1,0,0,0
5.455777e-12,5.455777e+00,1,73,0,1,1,1,1,0,1,1,0,0
