TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
2.927763e-12,2.927763e+00,1,2,0,0,0,0,0,0,0,0,0,0
2.458520e-12,2.458520e+00,0,5,1,1,1,0,0,0,0,0,0,0
-2.056098e-12,-2.056098e+00,1,7,0,0,1,1,1,0,0,0,0,0
5.768228e-13,5.768228e-01,0,11,1,1,1,1,0,0,1,1,1,0
7.953926e-12,7.953926e+00,1,14,0,0,0,1,1,1,1,0,0,1
3.022192e-12,3.022192e+00,0,15,1,0,0,0,1,1,1,1,0,0
3.086354e-12,3.086354e+00,1,16,0,1,0,0,0,1,1,1,1,0
1.610060e-12,1.610060e+00,0,18,1,1,0,1,0,0,0,1,1,1
2.104874e-12,2.104874e+00,1,19,0,1,1,0,1,0,0,0,1,1
7.602253e-12,7.602253e+00,0,24,1,1,1,1,1,0,1,1,0,1
4.782292e-12,4.782292e+00,1,25,0,1,1,1,1,1,0,1,1,0
5.598736e-12,5.598736e+00,0,26,1,0,1,1,1,1,1,0,1,1
5.170012e-12,5.170012e+00,1,27,0,1,0,1,1,1,1,1,0,1
3.313660e-12,3.313660e+00,0,29,1,1,0,1,0,1,1,1,1,1
6.565268e-12,6.565268e+00,1,32,0,0,0,1,1,0,1,0,1,1
5.900728e-12,5.900728e+00,0,33,1,0,0,0,1,1,0,1,0,1
8.206697e-12,8.206697e+00,1,36,0,0,0,1,0,0,0,1,1,0
1.887425e-12,1.887425e+00,0,37,1,0,0,0,1,0,0,0,1,1
9.497098e-12,9.497098e+00,1,41,0,0,0,0,1,0,0,0,1,0
8.821281e-12,8.821281e+00,0,42,1,0,0,0,0,1,0,0,0,1
8.563720e-12,8.563720e+00,1,48,0,0,0,0,0,0,1,0,0,0
7.826185e-12,7.826185e+00,0,51,1,1,1,0,0,0,0,0,0,1
9.577660e-12,9.577660e+00,1,52,0,1,1,1,0,0,0,0,0,0
