TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
1.353581e-12,1.353581e+00,0,1,1,1,1,1,1,1,1,1,1,1
7.685474e-13,7.685474e-01,1,2,0,1,1,1,1,1,1,1,1,1
1.791004e-12,1.791004e+00,0,3,1,0,1,1,1,1,1,1,1,1
4.104006e-12,4.104006e+00,1,5,0,0,1,0,1,1,1,1,1,1
-1.977792e-12,-1.977792e+00,0,9,1,1,1,1,0,0,1,0,1,1
7.453329e-13,7.453329e-01,1,10,0,1,1,1,1,0,0,1,0,1
-1.746029e-12,-1.746029e+00,0,11,1,0,1,1,1,1,0,0,1,0
2.755359e-14,2.755359e-02,1,12,0,1,0,1,1,1,1,0,0,1
6.369897e-13,6.369897e-01,0,14,1,1,0,1,0,1,1,1,1,0
5.051398e-14,5.051398e-02,1,15,0,1,1,0,1,0,1,1,1,1
-3.802556e-13,-3.802556e-01,0,17,1,1,0,1,1,0,1,0,1,1
4.928734e-12,4.928734e+00,1,19,0,0,1,1,0,1,1,0,1,0
3.188062e-12,3.188062e+00,0,20,1,0,0,1,1,0,1,1,0,1
9.386512e-13,9.386512e-01,1,22,0,0,1,0,0,1,1,0,1,1
2.639201e-12,2.639201e+00,0,23,1,0,0,1,0,0,1,1,0,1
1.630891e-12,1.630891e+00,1,28,0,0,0,0,0,1,0,0,1,0
2.166350e-12,2.166350e+00,0,29,1,0,0,0,0,0,1,0,0,1
3.772196e-12,3.772196e+00,1,38,0,0,0,0,0,0,0,0,0,1
1.959645e-12,1.959645e+00,0,39,1,0,0,0,0,0,0,0,0,0
3.063896e-12,3.063896e+00,1,41,0,0,1,0,0,0,0,0,0,0
7.972024e-12,7.972024e+00,0,45,1,1,1,1,0,0,1,0,0,0
8.696531e-12,8.696531e+00,1,48,0,0,0,1,1,1,1,0,0,1
7.686328e-12,7.686328e+00,0,49,1,0,0,0,1,1,1,1,0,0
3.076233e-12,3.076233e+00,1,51,0,0,1,0,0,0,1,1,1,1
4.616828e-12,4.616828e+00,0,57,1,1,1,1,1,1,0,0,1,0
4.861072e-12,4.861072e+00,1,61,0,0,0,0,1,1,1,1,1,1
5.394600e-12,5.394600e+00,0,62,1,0,0,0,0,1,1,1,1,1
5.672864e-12,5.672864e+00,1,63,0,1,0,0,0,0,1,1,1,1
2.368214e-12,2.368214e+00,0,64,1,0,1,0,0,0,0,1,1,1
8.940786e-12,8.940786e+00,1,65,0,1,0,1,0,0,0,0,1,1
3.215592e-12,3.215592e+00,0,68,1,1,1,0,1,0,1,0,0,0
6.959248e-12,6.959248e+00,1,70,0,0,1,1,1,0,1,0,1,0
4.417885e-12,4.417885e+00,0,72,1,1,0,0,1,1,1,0,1,0
5.546681e-12,5.546681e+00,1,74,0,0,1,1,0,0,1,1,1,0
6.181150e-12,6.181150e+00,0,75,1,0,0,1,1,0,0,1,1,1
8.897947e-12,8.897947e+00,1,78,0,0,0,1,0,0,1,1,0,0
6.230618e-12,6.230618e+00,0,79,1,0,0,0,1,0,0,1,1,0
1.201997e-11,1.201997e+01,1,82,0,0,0,1,0,0,0,1,0,0
6.084765e-12,6.084765e+00,0,83,1,0,0,0,1,0,0,0,1,0
5.891588e-12,5.891588e+00,1,88,0,0,0,0,0,1,0,0,0,1
2.844636e-12,2.844636e+00,0,89,1,0,0,0,0,0,1,0,0,0
8.827327e-12,8.827327e+00,1,91,0,0,1,0,0,0,0,0,1,0
9.405709e-12,9.405709e+00,0,93,1,1,0,0,1,0,0,0,0,0
8.969831e-12,8.969831e+00,1,94,0,1,1,0,0,1,0,0,0,0
8.709259e-12,8.709259e+00,0,101,1,1,1,1,1,1,1,0,1,1
