TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
1.471357e-12,1.471357e+00,0,1,1,1,1,1,1,1,1,1,1,1
1.003896e-12,1.003896e+00,1,2,0,1,1,1,1,1,1,1,1,1
2.143518e-12,2.143518e+00,0,3,1,0,1,1,1,1,1,1,1,1
4.688821e-12,4.688821e+00,1,5,0,0,1,0,1,1,1,1,1,1
-9.421179e-13,-9.421179e-01,0,9,1,1,1,1,0,0,1,0,1,1
1.889702e-12,1.889702e+00,1,10,0,1,1,1,1,0,0,1,0,1
-4.949631e-13,-4.949631e-01,0,11,1,0,1,1,1,1,0,0,1,0
1.383128e-12,1.383128e+00,1,12,0,1,0,1,1,1,1,0,0,1
2.194260e-12,2.194260e+00,0,14,1,1,0,1,0,1,1,1,1,0
1.704603e-12,1.704603e+00,1,15,0,1,1,0,1,0,1,1,1,1
1.458507e-12,1.458507e+00,0,17,1,1,0,1,1,0,1,0,1,1
6.939057e-12,6.939057e+00,1,19,0,0,1,1,0,1,1,0,1,0
5.278824e-12,5.278824e+00,0,20,1,0,0,1,1,0,1,1,0,1
3.178797e-12,3.178797e+00,1,22,0,0,1,0,0,1,1,0,1,1
4.947979e-12,4.947979e+00,0,23,1,0,0,1,0,0,1,1,0,1
4.216396e-12,4.216396e+00,1,28,0,0,0,0,0,1,0,0,1,0
4.792969e-12,4.792969e+00,0,29,1,0,0,0,0,0,1,0,0,1
6.529894e-12,6.529894e+00,1,38,0,0,0,0,0,0,0,0,0,1
4.703712e-12,4.703712e+00,0,39,1,0,0,0,0,0,0,0,0,0
5.762947e-12,5.762947e+00,1,41,0,0,1,0,0,0,0,0,0,0
1.050883e-11,1.050883e+01,0,45,1,1,1,1,0,0,1,0,0,0
