TIE_Seconds,TIE_Picoseconds,Bit,Edge_Index,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5,Bit_Prev_6,Bit_Prev_7,Bit_Prev_8,Bit_Prev_9,Bit_Prev_10
7.821172e-13,7.821172e-01,1,1,0,0,0,0,0,0,0,0,0,0
-1.909894e-12,-1.909894e+00,0,2,1,0,0,0,0,0,0,0,0,0
1.764488e-12,1.764488e+00,1,5,0,0,0,1,0,0,0,0,0,0
9.293508e-13,9.293508e-01,0,6,1,0,0,0,1,0,0,0,0,0
-5.462397e-12,-5.462397e+00,1,9,0,0,0,1,0,0,0,1,0,0
6.399253e-12,6.399253e+00,0,10,1,0,0,0,1,0,0,0,1,0
-2.050341e-12,-2.050341e+00,1,14,0,0,0,0,1,0,0,0,1,0
9.514614e-13,9.514614e-01,0,15,1,0,0,0,0,1,0,0,0,1
-3.863783e-13,-3.863783e-01,1,16,0,1,0,0,0,0,1,0,0,0
1.833453e-13,1.833453e-01,0,19,1,1,1,0,1,0,0,0,0,1
-7.253422e-13,-7.253422e-01,1,20,0,1,1,1,0,1,0,0,0,0
2.471909e-12,2.471909e+00,0,21,1,0,1,1,1,0,1,0,0,0
-2.342287e-12,-2.342287e+00,1,22,0,1,0,1,1,1,0,1,0,0
1.602805e-12,1.602805e+00,0,30,1,1,1,1,1,1,1,1,0,1
-3.289119e-12,-3.289119e+00,1,32,0,0,1,1,1,1,1,1,1,1
-2.652233e-13,-2.652233e-01,0,35,1,1,1,0,0,1,1,1,1,1
-2.231245e-12,-2.231245e+00,1,36,0,1,1,1,0,0,1,1,1,1
9.699645e-13,9.699645e-01,0,37,1,0,1,1,1,0,0,1,1,1
1.233690e-12,1.233690e+00,1,42,0,0,0,0,0,1,0,1,1,1
6.055090e-13,6.055090e-01,0,47,1,1,1,1,1,0,0,0,0,0
1.717196e-14,1.717196e-02,1,48,0,1,1,1,1,1,0,0,0,0
